Unnamed: 0,X1,age,gender,height,weight,steps,hear_rate,calories,distance,entropy_heart,entropy_setps,resting_heart,corr_heart_steps,norm_heart,intensity_karvonen,sd_norm_heart,steps_times_distance,device,activity
0,1,25,1,156.92164704552815,74.87205297067987,62.986953782639276,68.13580551961404,10.173303074753754,0.09232985518819664,6.280164203976767,6.281903899430949,62.58492206912063,-0.9031961675069667,7.511803259835645,0.04222379915040586,1.2824180264918368,5.815576321496719,apple watch,Lying
1,2,20,1,182.2213355395871,68.47563149921096,16.31612313673639,56.20855116449698,0.16821131142785614,0.025373674607098745,6.231803390655978,5.714110188969923,54.682353033030644,0.2363755168196071,6.551300855044631,0.029993089501002792,15.995793474658162,0.4139999993209045,apple watch,Lying
2,3,32,1,179.784071560518,75.0989881707063,1.0,71.70723373752843,15.310934427483156,0.00044,6.134084542655124,6.229457850146448,54.693267625130254,-1.0,21.37036395155499,0.13538345204234542,0.5904291729413917,0.00044,apple watch,Lying
3,4,31,0,158.22493584158465,63.317796623815305,687.0528285228518,61.474449390428035,2.2793994372069357,0.36539850772516896,5.931150010758847,6.137200732559243,62.33650175428006,-1.0,-10.166910210083675,-0.011700207518304251,17.85784734327451,251.04807827060645,apple watch,Lying
4,5,23,1,177.14554865968753,95.52341253101984,101.47446596599603,73.48832757101472,11.770795562509003,0.00044,6.243468685096541,6.3096961104494405,56.299818031172336,1.0,14.208968144334715,0.16146204652634055,4.113835636307029,0.044648765025038256,apple watch,Lying
5,6,25,1,160.37840759337516,77.64198299235085,49.79632710773822,68.68106168192331,17.739808430769187,0.05300815490081491,6.250217412005798,6.286478588043219,64.08517653137815,-0.905003395345352,-1.1402703389291182,0.011658352651014978,0.0,2.6396114208186363,apple watch,Lying
6,7,18,1,179.363921926663,88.51543657766457,1.0,80.38245467809142,2.8043440673213915,0.00044,6.165664762867701,5.972644078980594,79.06195210424133,0.4836962773893082,4.928859535021478,0.07898660936319749,6.763092352964516,0.00044,apple watch,Lying
7,8,31,0,163.9502685737873,59.83546465932874,618.5474815826476,74.82063002194302,3.0657904632028306,0.07749770751400585,5.913926063821378,6.118046801445578,63.424155887941886,-0.9933412499973929,12.890461814696696,0.03181936282201908,8.707439470638903,47.93601181121694,apple watch,Lying
8,9,26,1,179.4749899743822,73.61654372072753,200.30597359305773,76.2616089534992,3.4791139906578867,0.00044,6.451403118903463,6.444578684167925,70.77788604999188,1.0,-0.943830682306887,0.029698333613156425,16.840120093600007,0.0881346283809454,apple watch,Lying
9,10,27,1,178.60301800559398,79.02429037871198,4.488447806642215,75.91109112301216,17.084071145688345,0.00044,6.27908604289989,6.258566248082569,53.44352332654452,-1.0,21.048082247670617,0.12376394767261857,3.8089107433363845,0.001974917034922575,apple watch,Lying
10,11,30,0,166.3022641288697,70.19811069481142,1.0,68.58556000585043,14.689599032205729,0.07876160682917027,6.0171592331990436,6.134601257052966,70.81724775256959,0.9317653147194407,7.05352432104629,0.07344908883594196,0.4862403642870594,0.07876160682917027,apple watch,Lying
11,12,36,1,173.1954508647812,87.85882669852018,420.62211351681015,77.91571797122133,17.56625052422238,0.2408108606934019,5.976989384138979,5.9778504103500385,72.06605429449122,-1.0,6.495548373373991,0.023028417486582315,12.35427899268212,101.29037318266086,apple watch,Lying
12,13,32,1,183.33663397262538,74.67060158708648,82.33271033084213,61.3960713871035,14.839699852443168,0.02139257761488763,6.1893124228878715,6.241681731030991,60.37350370267382,-1.0,0.8473006956939049,0.03835534560321501,1.5977019318132126,1.761308895996601,apple watch,Lying
13,14,32,1,181.38382765306605,77.80272597100658,23.62897043885977,74.62272417506594,8.223202803379406,0.00044,6.181271432641579,6.137611036014888,55.99807982389768,0.9328824528658242,14.19812946374086,0.09815393794478144,9.095259820692297,0.0103967469930983,apple watch,Lying
14,15,20,1,181.4564943098656,82.11182474010452,1.0,83.27241879878271,0.0562692307692308,0.00044,6.218016596483086,5.959289667640788,77.44182499607555,1.0,3.8215172736293135,0.013414143436903891,38.293472452165375,0.00044,apple watch,Lying
15,16,23,0,178.8915023208842,83.75518362970087,80.06104723603171,84.87882799268019,18.048786908311516,0.00044,6.214965634177604,6.19755858192207,75.67138106608859,0.6250170129874781,5.525517370526554,0.050681948832916074,0.0,0.03522686078385395,apple watch,Lying
16,17,19,1,180.16170750154618,66.93853369720148,1.0,74.18939102268187,0.0562692307692308,0.011594957071937216,6.3313646338390965,6.29944645383104,36.29171919892528,0.7410393675459239,43.351476201755865,0.2625324834922466,13.211593573451841,0.011594957071937216,apple watch,Lying
17,18,27,1,178.60021289186952,79.72964571166273,78.25598710583881,76.3089219893146,14.694989476658595,0.04114498783175107,6.297781913017508,6.2442620897934455,53.60946475681493,-0.9548592678364154,23.42943048723203,0.21518802245333016,3.905591451409556,3.219841637231407,apple watch,Lying
18,19,36,0,172.8522193034807,85.77753964950033,244.35377608269883,72.94950146387696,9.818818142690407,0.12936316813457394,5.952504670751831,6.010199371122463,67.93495754675212,0.9465098303575592,4.8616727461869695,0.005281624745440855,3.649033965741817,31.6103786197042,apple watch,Lying
19,20,53,0,143.0,47.20883182892537,18.175230221033086,94.48033546324626,0.0562692307692308,0.050512332214788395,6.21254108553284,6.266128272195202,67.29302520626686,1.0,20.729219781973004,0.25492756695174534,0.0,0.9180732670050852,apple watch,Lying
20,21,32,1,177.98444854856433,78.07863342633169,52.12678646058545,66.9374709908442,18.3490868049413,0.015569846670042058,6.232910627360885,6.192838267739411,70.17209873673195,-0.853787443101053,9.813018762962985,0.0015542076230177504,0.0,0.8116060725933398,apple watch,Lying
21,22,25,0,161.11872236247513,60.307477859138636,411.9687755911673,99.61301041008099,2.2275965308823507,0.2748138594112841,6.087964083042017,6.101284124257041,99.32392718618543,0.28605833084767235,8.477088017176857,0.035824758151867586,8.12295782192108,113.2147291771499,apple watch,Lying
22,23,28,0,162.54259273307633,60.27614329469332,507.62695966506084,127.1135333569639,6.287240311710258,0.25013133086709816,6.123737827366164,5.838068372926509,78.95393396641896,-0.012755165310398678,47.962673626855306,0.36886656845685195,2.0274457745824352,126.97340700504043,apple watch,Lying
